id,c1,c2,c3,c4
84934,0.4794,1.3921,0.0,0.0
94985,0.0,0.0,0.0,0.3516
94986,0.0,0.0,0.0,0.0
94987,0.0,0.0,0.4513,0.0
94988,0.0,0.0,2.2344,0.7211
94989,0.0,0.0,0.0,0.0
94990,0.0,0.0,0.0,0.0
94991,0.8541,0.0,1.4133,0.0
94992,0.0,0.5755,0.0,0.0
94993,0.0,0.0,1.7401,0.0
94994,1.2091,0.0,0.0,1.4558
85940,0.0,4.2555,1.4377,0.0
94995,0.0,0.0,0.0,0.0
94996,0.0,0.0,0.0,0.0
94997,0.0,0.0,0.0,0.0
94999,0.0,0.0,0.0,0.0
95000,0.0,0.4781,0.0,0.0
95001,1.3525,0.0,0.0,0.0
95002,0.0,0.0,0.0,0.0
95003,0.0,0.0,0.0,0.0
95004,0.0,0.0,0.0,0.0
85941,0.0,1.3547,0.0,0.0
95006,0.0,0.4197,0.0,0.0
95007,0.0,0.859,0.0,0.0
95008,0.0,0.0,0.0,0.0
95009,0.6434,0.0,0.0,0.5468
95010,0.8087,0.0,0.0,0.0
95011,0.0,0.0,0.0,0.0
95012,0.0,0.0,0.0,0.0
95013,0.0,0.6471,0.0,0.0
95014,0.0,0.0,0.9314,0.7043
85942,0.6636,0.6354,0.0,1.0064
95016,0.0,0.6831,0.0,0.8732
95017,0.0,0.0,0.0,0.0
95018,0.0,0.0,0.0,0.0
95019,0.0,0.0,0.0,0.0
95020,0.0,0.5077,0.0,0.0
95021,0.0,0.0,0.3894,0.5466
95022,0.0,0.3634,0.0,0.4376
95023,0.0,0.0,0.0,0.0
95024,0.0,0.0,0.0,0.0
85943,0.0,0.0,0.0,0.0
95025,0.0,0.0,0.5866,0.0
95026,0.0,0.0,0.0,0.0
95027,0.0,0.0,0.8735,0.0
95028,1.171,0.0,1.171,0.7736
95029,0.0,0.0,0.0,0.0
95030,0.0,0.3479,0.0,0.0
95031,0.0,0.0,1.3559,0.0
95032,0.0,0.0,0.0,0.0
95033,0.0,0.0,0.0,0.0
95034,0.0,0.8649,1.0064,0.0
85944,0.0,0.5694,0.8822,0.0
95035,0.0,0.0,0.0,1.0004
95036,0.0,0.0,0.0,0.0
95037,0.0,0.0,0.0,0.0
95038,0.0,0.4147,0.272,0.0
95039,0.0,0.0,0.0,0.0
95040,0.0,0.2864,0.5799,0.5458
95041,0.0,0.0,0.0,0.0
95042,0.0,0.3913,0.0,0.2908
95043,0.0,0.0,0.0,1.1013
95044,0.0,0.0,0.0,0.0
85945,0.0,0.0,0.0,0.0
95045,0.0,0.331,0.0,0.0
95046,0.0,0.6601,1.7338,0.0
95047,0.0,0.0,0.8798,0.0
95048,0.0,0.0,0.0,0.0
95049,0.0,0.894,0.0,0.9771
95050,0.0,0.0,0.0,0.0
95051,0.0,0.0,0.0,0.0
95052,0.0,0.8401,0.0,0.0
