id,c1,c2,c3
214049,0.6112669632042463,0.0,0.0
224159,0.0,0.0,0.0
224160,2.4812279471707845,0.0,0.0
224161,0.7503284385482429,0.0,0.0
224162,0.0,0.6168978210815699,0.6350472272514842
224163,0.0,0.0,1.4495975092764528
224164,0.0,0.0,0.0
224165,0.715459019141521,0.0,0.0
224166,0.8107962352437638,0.0,0.0
224167,0.0,0.0,0.0
224168,0.6496488893283402,0.5098716294900089,0.5098716294900089
215058,0.0,0.0,0.0
224169,0.0,0.0,0.0
224170,0.0,2.331071061354149,0.0
224171,0.0,0.0,0.0
224172,0.0,0.0,0.0
224173,0.8227704346865072,0.0,0.0
224174,0.0,0.0,0.0
224177,0.875236561945507,0.0,1.311810577721489
224178,1.5904412689779752,0.0,0.0
215059,0.6799384482309583,0.564346223365775,0.2910074644721534
224179,0.6619050961784916,0.0,0.0
224180,0.6757251861445629,0.0,0.0
224181,0.0,0.0,0.0
224183,0.6973652535520511,0.0,0.0
224184,1.053328403778903,0.0,0.0
224185,0.0,0.4479293504332842,0.4479293504332842
224186,0.0,0.0,0.0
224187,1.2269481176942787,0.0,0.0
224188,0.39982627266521237,0.0,0.0
224189,1.7160519270857506,0.48006828098445836,1.0361795133488392
224190,0.0,0.0,0.0
224191,0.0,1.4259659580084647,0.0
224192,0.9107084630077052,0.8352681294985945,0.0
224193,0.0,0.0,0.0
224194,0.8424730838025987,1.346221036095442,1.8396660572344077
224195,0.8424730838025987,1.346221036095442,1.8396660572344077
224196,0.0,0.0,0.0
224197,0.29398165890748423,0.0,0.3008788242952844
224198,0.9959253784262251,0.0,0.0
224199,0.8668519297106763,0.0,0.0
224200,0.0,0.0,0.0
224201,0.8828101472049571,0.0,0.0
224202,2.3263798339368225,0.0,0.0
224203,0.9531004429069547,0.3930278389352438,0.0
224204,0.0,1.0230673491107807,0.0
224205,0.6858076447075446,0.0,0.0
224206,1.1908272088991045,0.0,0.0
224207,0.5807249715539818,0.0,0.0
224209,0.0,0.0,0.0
215062,0.41693911340448714,0.0,1.2889258724264356
224210,0.0,0.0,0.0
224211,1.5276406186834501,0.0,0.0
224212,0.9490970748341081,1.3407053843374508,1.5866061179259947
224213,0.46059259962630333,0.7643677055685699,3.5447387778324657
224214,0.0,0.0,0.0
224215,0.0,0.8475231865434896,0.0
224216,0.0,1.1729169473526455,0.0
224217,0.0,0.0,0.0
224218,0.7694684081739187,1.2937834025691812,1.2362727537230949
224219,0.0,0.0,0.0
215063,1.2452212300737604,0.0,0.0
224220,0.8691695349950238,0.0,0.0
224221,0.9294119736690362,0.0,0.0
224222,0.0,0.0,0.0
224223,0.42944169403578564,0.8458216576225162,0.0
224225,1.0139160366186082,0.0,0.0
224226,0.0,0.0,0.0
224227,0.9863493073737695,0.0,0.0
224228,0.0,0.0,0.0
224229,0.9871869801618003,0.0,0.0
215064,2.313524603139018,0.8720253004838716,0.0
224230,0.0,0.0,0.0
224231,0.7042678990029713,0.0,0.0
224232,1.16628540003344,0.0,0.0
224233,0.0,0.0,0.0
224234,0.0,0.0,1.4193614266660004
224235,0.8098131981050307,0.0,0.0
224236,0.7695965964564655,0.0,0.0
224237,0.5142328596624267,1.4861314303829183,0.29317160770908074
224239,0.7318410290435319,0.0,0.0
224241,0.6776847088326593,0.0,0.0
215065,2.9208557907076846,0.3287430473979282,0.3287430473979282
224242,1.2787841838520861,0.0,0.0
224243,1.1177528383126842,0.3869457207629769,2.0383645878339594
224244,0.0,0.0,0.0
224246,1.4505501108572227,0.0,0.0
224247,0.6282030240113395,0.0,0.0
224248,1.3086198238837339,0.0,0.0
224249,0.8698621800150071,0.0,0.0
224251,1.4402969629859947,0.0,0.0
215066,0.0,0.0,0.0
224252,0.0,0.0,1.2094918499695626
224253,0.0,0.0,0.0
224254,0.7969290037509236,0.38595129624392666,1.691070315102204
224255,0.853760297327914,0.0,0.0
224256,0.0,0.0,0.0
224257,0.7290929638519019,0.0,0.0
224258,0.65124523640534,0.0,0.0
224259,0.6387843378000289,0.0,0.0
224260,0.42040820976207444,0.0,0.0
224261,0.4966959669273094,0.0,0.0
215067,0.0,0.0,0.0
214149,0.0,1.1567188865343876,0.0
